genotype,replicate id,time point,cell label,angleRegularity,angleVariaton,angleGiniCoeff,lengthRegularity,lengthVariaton,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
speechless,20210712_R5M001,96h,594,0.7073509635910558,0.240728700635386,0.0663203669126682,0.5390419402409815,0.3311988619977467,0.0905460827440469,2047.38,2056.22,2550.256601053578,1.0043177133702583,1.2456195728460655,1.2402644663769335
speechless,20210712_R5M001,96h,1074,0.653055020753159,0.2954086891679806,0.0830194447149716,0.5614946574167787,0.3899406096995102,0.1054850275091779,2112.14,1904.34,2202.048216509964,0.9016163701269803,1.0425673565719904,1.1563314410819308
speechless,20210712_R5M001,96h,946,0.8013167954367346,0.1567348300587948,0.0423657668289714,0.6157639458975059,0.3096849868838345,0.0868236886282548,2100.92,2417.62,2636.6031534600206,1.150743483807094,1.2549755123755404,1.0905779872188437
speechless,20210712_R5M001,96h,114,0.5872057648390352,0.2719710566786857,0.0707517382607262,0.6378902310469515,0.269964464806503,0.0753819970761081,1613.28,1082.12,1235.302189555767,0.6707577109987106,0.7657084880217736,1.141557488592547
speechless,20210712_R5M001,96h,754,0.7555920202849871,0.1295706772216488,0.0341111918988147,0.5364579656916308,0.4333098384282948,0.1182035730703354,2114.71,2122.56,2404.9433750276944,1.0037120929110848,1.137245000509618,1.1330390542682867
speechless,20210712_R5M001,96h,1034,0.6012824927705136,0.3072692097119472,0.0863099005750207,0.5532556242080648,0.4143353060996526,0.1143325141731655,2551.06,2725.37,3205.7538749488435,1.068328459542308,1.2566360159889784,1.176263727475111
speechless,20210712_R5M001,96h,1162,0.7670141578829863,0.2093472927585931,0.0562209889092577,0.4877639671074456,0.4800570721191867,0.1361088812713012,2358.39,2393.07,2798.664022623718,1.014704947018941,1.1866841458044337,1.1694869028585533
speechless,20210712_R5M001,96h,330,0.5905241776222127,0.3430801571895954,0.0957305772395773,0.6088329343255386,0.2698773643112228,0.0735562048495262,1712.71,979.69,1216.9852842665314,0.5720116073357427,0.7105612066646025,1.2422146640942862
speechless,20210712_R5M001,96h,970,0.8585186541428605,0.1141317352858865,0.0318595264168496,0.5487632763384006,0.4160585675063789,0.1099884656633348,2458.22,2886.8,3125.8341688488954,1.1743456647492903,1.2715843857949638,1.082802469464076
speechless,20210712_R5M001,96h,554,0.8538700079422179,0.0892379013502049,0.0244959080715354,0.6567454670042833,0.2874191843296043,0.0753174582689938,1556.79,1457.35,1521.591528801453,0.9361249751090385,0.9773903537416434,1.0440810572624648
speechless,20210712_R5M001,96h,298,0.7379633615024138,0.1707400034136309,0.0474812395774274,0.7034374345781733,0.1882410716636662,0.0517082751954049,1139.05,1102.31,1154.7689442538656,0.9677450507001448,1.0138000476308024,1.047590010300066
speechless,20210712_R5M001,96h,426,0.638001821960426,0.3440672158518111,0.0947909716463014,0.5001512149528399,0.5457583628940745,0.1475910486204425,2308.43,2226.6,2850.921369903353,0.9645516649844267,1.2350044705290406,1.2803922437363484
speechless,20210712_R5M001,96h,858,0.7650644448875624,0.1546603680781158,0.0431585820801392,0.6242857119183562,0.2532202181130062,0.0698780160414652,2186.4,2351.44,2501.118202186207,1.0754848152213685,1.1439435611901787,1.0636538470835772
speechless,20210712_R5M001,96h,986,0.756193482171862,0.2245003483191864,0.0583523546941696,0.8247037782831325,0.1170473390359163,0.0326729845954948,1189.87,866.655,935.2281489384012,0.7283610814626809,0.7859918721695658,1.0791239292895112
speechless,20210712_R5M001,96h,954,0.5973706717736824,0.3245503157927559,0.0902600802726156,0.3403370712666704,0.5627770846557624,0.13064981936599,1781.32,1541.12,2011.210425091712,0.865156176318685,1.129056219596542,1.3050316815638705
speechless,20210712_R5M001,96h,1030,0.6989209977963003,0.2556531750314922,0.0715038077446208,0.5518847954413342,0.3396641699738434,0.0930721983133108,2414.25,2291.83,2853.394737317599,0.9492927410168789,1.1818969606783054,1.2450289669467627
speechless,20210712_R5M001,96h,1158,0.7791671061692333,0.2190304035646738,0.05658465206032,0.4282137150519723,0.5897589499485476,0.1602937048175865,2090.14,2228.22,2741.7298708657604,1.0660625604026523,1.3117446060387155,1.2304574372664103
speechless,20210712_R5M001,96h,582,0.7469018470215699,0.2068206148352895,0.0572773118845814,0.6608023671009308,0.2352776130537346,0.0647048729262699,1497.24,1470.66,1585.121173146926,0.9822473350965778,1.0586954483896542,1.077829799645687
speechless,20210712_R5M001,96h,1222,0.6308817091921525,0.2665023819433365,0.0737353131424314,0.6462101860301103,0.3106408870465512,0.0875023209703454,2179.57,2635.51,3312.7613961749944,1.2091880508540676,1.5199151191175297,1.2569716662714214
speechless,20210712_R5M001,96h,870,0.6991630215465255,0.1633645055842216,0.0424400123831228,0.5669400508320509,0.2689936718414272,0.0674909720917145,2528.1,2806.72,3028.868447475568,1.1102092480518966,1.1980809491220947,1.0791487741832346
speechless,20210712_R5M001,96h,1254,0.5922979362324687,0.2837336439238248,0.0748790833763658,0.5969412497099195,0.2575362940568355,0.0640005490935354,956.015,595.206,680.5917093376138,0.6225906497282993,0.7119048438963969,1.1434557268199812
speechless,20210712_R5M001,96h,486,0.6901310087373742,0.2492490740052163,0.0700519049507738,0.6452593018935291,0.3108215129774244,0.0871079373081466,3295.68,3773.69,4650.9155392880975,1.145041387513351,1.4112157549543942,1.2324582939478594
speechless,20210712_R5M001,96h,1110,0.8183901588023191,0.1235794999441777,0.0345523413877938,0.7599402134853741,0.1786043204086918,0.047548333696805,2525.54,2816.0,2947.211643792344,1.1150090673677708,1.1669629638779604,1.0465950439603495
speechless,20210712_R5M001,96h,598,0.8311825257960577,0.1607395288822182,0.0418348338348626,0.5042615169511049,0.393624334963817,0.1054644930775334,1294.39,1355.97,1591.952640629063,1.0475745331777901,1.229886387123713,1.1740323463122804
speechless,20210712_R5M001,96h,694,0.8307965631265997,0.1413125447291528,0.03926979352668,0.6396358222442802,0.2709485857234283,0.0752785967746305,1919.86,2041.98,2167.026225227457,1.063608804808684,1.1287417963952877,1.0612377326063218
