genotype,replicate id,time point,cell label,angleGiniCoeff,lengthGiniCoeff,angleGiniCoeff_ignoringGuardCells,lengthGiniCoeff_ignoringGuardCells,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
speechless,20210712_R1M001A,96h,45177,0.0708812879263193,0.2042611185174976,0.0708812879263193,0.2042611185174976,1289.15,1222.06,1337.2321769600994,0.9479579567932357,1.0372975813211025,1.0942442899367457
speechless,20210712_R1M001A,96h,45317,0.1439295596559009,0.1943457576700953,0.1439295596559009,0.1943457576700953,1379.65,1259.34,1422.284570091048,0.9127967238067625,1.0309024535868139,1.129388862492296
speechless,20210712_R1M001A,96h,44805,0.1419165916306278,0.1255401498070131,0.1419165916306278,0.1255401498070131,1288.56,1298.77,1496.056252028523,1.0079235736015397,1.161029561703392,1.151902378426144
speechless,20210712_R1M001A,96h,45093,0.1047958006487542,0.1869101405892697,0.1047958006487542,0.1869101405892697,1247.96,1088.73,1156.5473339748246,0.872407769479791,0.9267503237081514,1.0622903143798963
speechless,20210712_R1M001A,96h,44453,0.2054843367736132,0.2011677559176178,0.2054843367736132,0.2011677559176178,1729.27,1689.13,2775.8835943269337,0.9767878931572282,1.6052343441607926,1.643380671900288
speechless,20210712_R1M001A,96h,45157,0.1732822100537213,0.1366610160618815,0.1732822100537213,0.1366610160618815,1526.35,1497.22,1858.1880162765617,0.9809152553477251,1.21740624121372,1.2410921683363578
speechless,20210712_R1M001A,96h,45285,0.1267475919824441,0.2346915859646101,0.1267475919824441,0.2346915859646101,1163.43,1261.03,1511.5203990815005,1.0838898773454353,1.29919324676302,1.1986395241045023
speechless,20210712_R1M001A,96h,45461,0.1486202803508571,0.2719053063892336,0.1486202803508571,0.2719053063892336,1396.44,1338.57,1527.3769614599069,0.958558906934777,1.0937648316146105,1.1410512423406374
speechless,20210712_R1M001A,96h,41685,0.1171490205053489,0.2588954242557669,0.1171490205053489,0.2588954242557669,1370.08,1522.41,1676.56784022726,1.1111832885670911,1.2237006891767341,1.1012590827879873
speechless,20210712_R1M001A,96h,42965,0.0998595059037203,0.2662535753102109,0.0998595059037203,0.2662535753102109,1116.9,1321.51,1444.7070751043022,1.1831945563613573,1.2934972469373285,1.0932244743545658
speechless,20210712_R1M001A,96h,45237,0.1784834701406547,0.13278778937551,0.1784834701406547,0.13278778937551,1678.95,1763.43,2281.422474632963,1.0503171625122845,1.3588388425104754,1.2937414440227073
speechless,20210712_R1M001A,96h,45173,0.1313696097298962,0.2693503582096848,0.1313696097298962,0.2693503582096848,1911.71,2318.98,2597.909900782164,1.2130396346726229,1.3589456040833412,1.1202812877998793
speechless,20210712_R1M001A,96h,44661,0.1709354809496074,0.1986272988502143,0.1709354809496074,0.1986272988502143,1673.1,1618.97,2329.413077368552,0.9676468830314985,1.39227367005472,1.4388241149425574
speechless,20210712_R1M001A,96h,43509,0.099501900494451,0.2754064676838139,0.099501900494451,0.2754064676838139,828.336,846.125,991.2684008513048,1.0214755847868497,1.1966984422399904,1.1715389580160198
speechless,20210712_R1M001A,96h,45165,0.1922684291493935,0.0909849541570155,0.1922684291493935,0.0909849541570155,1429.55,1279.97,1555.2062501434646,0.8953656745129587,1.0878991641729667,1.215033360268963
speechless,20210712_R1M001A,96h,45293,0.0906495022446316,0.2686516539958264,0.0906495022446316,0.2686516539958264,1106.51,1106.43,1260.3314022483478,0.9999277006082187,1.1390149228189062,1.1390972788593474
speechless,20210712_R1M001A,96h,44637,0.1964808889780771,0.3148203965407948,0.1964808889780771,0.3148203965407948,1403.5,1437.56,2270.69133200596,1.0242679016743854,1.6178776857897825,1.5795454325426137
speechless,20210712_R1M001A,96h,45405,0.0779557148075211,0.1745513343679275,0.0779557148075211,0.1745513343679275,1604.08,1730.67,1855.162162505551,1.078917510348611,1.156527207187641,1.0719329291578121
speechless,20210712_R1M001A,96h,45277,0.1848978918412612,0.2333677168316497,0.1848978918412612,0.2333677168316497,1026.02,1033.12,1256.585439306822,1.0069199430810314,1.224718269923415,1.2163015325488058
speechless,20210712_R1M001A,96h,44509,0.1535409448352473,0.2459030818511095,0.1535409448352473,0.2459030818511095,1552.77,1745.89,2272.465893163312,1.1243712848651122,1.4634916266821951,1.3016088603310128
speechless,20210712_R1M001A,96h,45245,0.1262912839518702,0.1364584133700762,0.1262912839518702,0.1364584133700762,1353.45,1366.45,1489.3951571772177,1.0096050833056263,1.1004434276679727,1.0899741352974626
speechless,20210712_R1M001A,96h,45181,0.1543050879674206,0.1738274807608499,0.1543050879674206,0.1738274807608499,1169.68,1224.29,1421.5144867244558,1.0466879830380957,1.2153020370737773,1.1610929491578432
speechless,20210712_R1M001A,96h,45437,0.1695936034829021,0.1912094861864312,0.1695936034829021,0.1912094861864312,1471.66,1309.15,1672.4604837891898,0.8895736787029613,1.1364448879423166,1.2775163150053008
speechless,20210712_R1M001A,96h,44675,0.1771651748485415,0.217168877381311,0.1771651748485415,0.217168877381311,1327.09,1327.67,1641.759603163289,1.0004370464700962,1.2371124815674062,1.2365720421213773
speechless,20210712_R1M001A,96h,45123,0.1076170562401702,0.1428856890329632,0.1076170562401702,0.1428856890329632,1162.49,1202.86,1295.1990348923428,1.034727180448864,1.1141592916002225,1.0767662362139758
speechless,20210712_R1M001A,96h,42915,0.1514464883160222,0.0947151844725654,0.1514464883160222,0.0947151844725654,361.264,309.443,348.18750741971724,0.8565564241108995,0.9638034994345333,1.1252072511568116
speechless,20210712_R1M001A,96h,45283,0.1603764386625467,0.2040689417439233,0.1603764386625467,0.2040689417439233,1785.96,2019.89,2986.971825290267,1.1309827767699165,1.672474089727803,1.47877945100489
speechless,20210712_R1M001A,96h,45459,0.1319754384055144,0.2941421054572948,0.1319754384055144,0.2941421054572948,1779.9,1473.56,2013.820341945032,0.8278892072588347,1.131423305772814,1.3666361342225848
speechless,20210712_R1M001A,96h,44435,0.1999909417748921,0.1894423008987734,0.1999909417748921,0.1894423008987734,1604.75,1657.65,2041.8247586217703,1.032964636236174,1.272363146048774,1.2317586695754654
speechless,20210712_R1M001A,96h,45235,0.1535837043145303,0.260343397890145,0.1535837043145303,0.260343397890145,1128.96,970.963,1491.1421039869906,0.8600508432539682,1.32081039539664,1.5357352483946254
speechless,20210712_R1M001A,96h,44979,0.1120050313990513,0.2524168624737611,0.1120050313990513,0.2524168624737611,1181.45,1164.08,1284.256747971893,0.985297727368911,1.0870174344846526,1.1032375334787068
speechless,20210712_R1M001A,96h,45171,0.2843768816885973,0.1703067153998727,0.2843768816885973,0.1703067153998727,1329.34,1155.79,1749.3257678267294,0.8694464922442716,1.3159355528508354,1.5135325343070363
speechless,20210712_R1M001A,96h,45299,0.1885537564314083,0.2508984563960333,0.1885537564314083,0.2508984563960333,1706.89,1651.43,2316.2959499115505,0.967508158112122,1.3570270784359568,1.4026001404307482
speechless,20210712_R1M001A,96h,44531,0.1957554337299274,0.1543137228573103,0.1957554337299274,0.1543137228573103,2067.76,1997.22,2613.8580250449527,0.9658857894533214,1.2641012617735872,1.3087481724822265
speechless,20210712_R1M001A,96h,43595,0.1145372142446214,0.2541523353842778,0.1145372142446214,0.2541523353842778,1868.48,1945.05,3412.26138473158,1.0409798338756635,1.8262231250704208,1.7543309347994038
