genotype,replicate id,time point,cell label,angleRegularity,angleVariaton,angleGiniCoeff,lengthRegularity,lengthVariaton,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
WT,20200221 WT S5,120h,194,0.7958785684093772,0.1425651617524706,0.0407112885379663,0.6136920298609682,0.4057747960438821,0.1113730518295463,604.887,658.122,700.4617888655919,1.0880081734274336,1.1580043691889426,1.0643342554504969
WT,20200221 WT S5,120h,290,0.6650755170891661,0.2090469626364803,0.0559166136183661,0.6596945559730888,0.3239263937934058,0.0894799286234735,503.313,414.219,445.6403444620232,0.822984902039089,0.8854139361828985,1.0758568401305184
WT,20200221 WT S5,120h,162,0.7894491643127721,0.1827205381755326,0.0513410958987443,0.3632118150281951,0.6030037840942668,0.1645731823638755,706.563,774.375,867.3301600606767,1.0959744566301943,1.2275340770188599,1.120038947616693
WT,20200221 WT S5,120h,98,0.7068163576387434,0.1979912317741562,0.0540804156217932,0.5334921629991538,0.4703113124305305,0.1313033562645044,720.164,775.25,865.0925767798627,1.0764909104037415,1.2012438510948378,1.1158885221281687
WT,20200221 WT S5,120h,610,0.6865957735681454,0.2104679680550643,0.058844644391742,0.3464669248610899,0.5775509592255726,0.1465248891862008,492.163,467.3,547.7774035085248,0.9494821837480673,1.11299996852369,1.1722178547154394
WT,20200221 WT S5,120h,354,0.6786615551808737,0.1905061552836833,0.0511261768857521,0.4537255643012017,0.3754975359436088,0.0851706236273607,402.219,405.719,464.0786142716013,1.0087017271685326,1.153795853183468,1.1438424482747944
WT,20200221 WT S5,120h,226,0.8347346823576842,0.1296721948386534,0.0344441008804372,0.5531260225786454,0.4207249399718368,0.1176234487708999,636.656,670.031,742.1916420304846,1.0524223442486995,1.1657655657536952,1.1076974677746023
WT,20200221 WT S5,120h,482,0.5739972368715087,0.3215734202344414,0.0874806457455197,0.4646109859163929,0.4677963196485429,0.129612513337136,99.8125,80.75,93.65814543671844,0.8090169067000627,0.9383408434486507,1.159853194262767
WT,20200221 WT S5,120h,530,0.7741224853734878,0.1293022428672166,0.0350859586047269,0.6860268456617675,0.2217676911454317,0.061522505162718,105.813,108.563,112.45128152044286,1.0259892451778136,1.062735973088778,1.035815899712083
WT,20200221 WT S5,120h,82,0.8033865135884005,0.1343464389582675,0.037857201616853,0.5917995765900139,0.4256258646475153,0.1083126722344446,244.211,225.328,238.10692413825583,0.9226775206686021,0.9750049102548854,1.0567125441057295
WT,20200221 WT S5,120h,50,0.7482812135653225,0.2197874366046711,0.0624013124412216,0.435132896172235,0.5543584005771582,0.1549660360712005,1002.59,1141.56,1420.3949559185885,1.1386109975164322,1.4167256365200016,1.2442578190533906
WT,20200221 WT S5,120h,562,0.7555711935640164,0.1510718788668679,0.0413976365825089,0.5123054227937476,0.3530922134336879,0.0937757884673727,90.375,80.625,91.02050479934728,0.8921161825726142,1.0071425150688496,1.128936493635315
WT,20200221 WT S5,120h,306,0.6304288885616476,0.2085888474451519,0.0532668288174576,0.567584009261747,0.4247425151028986,0.1203084221520957,963.605,1040.22,1190.6490403437513,1.0795087198592785,1.2356194087242711,1.144612716871192
WT,20200221 WT S5,120h,178,0.6181181849843074,0.200781102556866,0.047836613473185,0.5541104487979148,0.4581031965044843,0.1275742733974398,785.469,830.438,892.7507026816797,1.057251145493966,1.1365829875929918,1.0750359481161504
WT,20200221 WT S5,120h,114,0.6890104802214544,0.2381367384606779,0.0672883925977087,0.5163678338631246,0.4276034705891547,0.1198956449421203,804.094,844.156,1003.7274138501426,1.0498225331864184,1.2482712392458377,1.189030716893729
WT,20200221 WT S5,120h,370,0.6898710216157296,0.1802661923265203,0.0490288220306834,0.4364239942915172,0.5930373535682835,0.1614750942308115,405.711,428.308,469.20389360445546,1.0556972820554533,1.1564978361554294,1.095482441617844
WT,20200221 WT S5,120h,266,0.4693046172283061,0.3662500249787335,0.085176190467275,0.5534956698763924,0.4317843391292792,0.11880992256645,488.656,415.0,466.6581808009473,0.8492681968501359,0.9549830162751451,1.1244775440986683
WT,20200221 WT S5,120h,650,0.8596968350026433,0.0973626245048336,0.0257815651905665,0.7571083283070625,0.1393818870551584,0.037190975255738,366.563,327.281,332.6015305348645,0.8928369748174257,0.9073516163247913,1.0162567656993975
WT,20200221 WT S5,120h,554,0.8249095368407933,0.140577798279122,0.0398119995174711,0.467215658187583,0.455816765180115,0.1256779042153404,806.313,939.625,1028.3684957019277,1.1653352978309912,1.2753961497606112,1.0944456519376642
WT,20200221 WT S5,120h,170,0.7216061683307666,0.2101227591172992,0.0587159378315,0.5170711663850698,0.4920042850123774,0.130531900934479,132.969,132.656,164.76614093032106,0.9976460678804835,1.2391319851267668,1.2420556999330679
WT,20200221 WT S5,120h,490,0.6538957591194086,0.2414146342861621,0.0659170916923323,0.3869015297391094,0.4883110183732625,0.1181910906608633,545.688,542.594,633.7451536118051,0.9943300933866973,1.1613690490020032,1.1679914514568996
WT,20200221 WT S5,120h,346,0.5863747406967397,0.3250897983219928,0.0900489801743035,0.41816748866285,0.4860589935655502,0.1290597973438825,272.0,220.75,286.164141688355,0.8115808823529411,1.0520740503248347,1.2963268026652548
WT,20200221 WT S5,120h,570,0.6714087035934099,0.1972526257059818,0.0535465144645388,0.6170433804465758,0.3862550822511563,0.1075410943953527,753.313,708.438,751.2348049591615,0.940429808061191,0.9972412595550076,1.060410092286356
